Fibra Danhos,
,
,
Balance Sheet,"Fibra Danhos 2025"
,
"Activos","Millones de dólares estadounidenses"
"Activos actuales","$1,333.358"
"Inventario total","-"
"Gastos prepagados","208.458"
"Total de cuentas por cobrar, neto","633.092"
"Efectivo e inversiones a corto plazo","491.809"
"Otros activos corrientes, total","-"
"Activos fijos","$18.993"
"Construcción en curso - Gross","-"
"Depreciación acumulada, total","-"
"Terreno/Mejoras - Bruto","-"
"Maquinaria/Equipamiento - Bruta","-"
"Recursos Naturales - Brutos","-"
"Otras propiedades/Planta/Equipamiento - Bruto","-"
"Edificios - Gross","-"
"Arrendamientos - Bruto","-"
"Activos intangibles",""
"Buena voluntad, Net","-"
"Intangibles, Neto","-"
"Pagaré a cobrar - A largo plazo","178.647"
"Inversiones a largo plazo","78,571.942"
"Otros activos a largo plazo, total","45.322"
"Activos totales","$80,148.262"
"Pasivos y patrimonio de los propietarios","Millones de dólares estadounidenses"
"Pasivos corrientes totales","$4,860.718"
"Gastos acumulados","124.665"
"Cuentas a pagar","305.392"
"Arrendamientos actuales de deuda/capital del Puerto de LT","3,809.448"
"Pagadero/Devengado","-"
"Pagarés a pagar/Deuda a corto plazo","0.0"
"Otros pasivos corrientes, Total","621.214"
"Pasivos a largo plazo",""
"Interés minoritario","2,856.83"
"Deuda Total a Largo Plazo","7,038.083"
"Impuesto sobre la renta diferido","-"
"Otras responsabilidades, Total","1,591.002"
"Patrimonio Total","$63,801.629"
"Garantía de Deuda ESOP","-"
"Capital adicional de pago","-"
"Beneficios retenidos (déficit acumulado)","25,756.877"
"Acciones del Tesoro - Ordinarias","(168.09)"
"Ganancia no realizada (pérdida)","-"
"Acciones ordinarias, total","38,205.404"
"Otros capitales, total","7.439"
"Acciones preferentes - No redimibles, neto","-"
"Total de pasivos y patrimonio neto de los accionistas","$80,148.262"
"Period End Date:","2025-12-31"
"Period Length:","-"
"Update Type:","Updated Normal"
"Update Date:","2025-12-31"
"Source:","ARS"
"Source Date:","2026-04-02"
"Original Announcement Date:","2026-02-26T17:33:54"
"Complete Statement:","Complete"
"Consolidated:","Yes"
"Auditor Code:","GYRU"
,,
"Copyright ?, Thomson Reuters, 1999-2022. All Rights Reserved. Use, duplication, or sale of this service, or data contained herein, except as described in the Cengage Learning and Gale Group Subscription Agreements is strictly prohibited."
