Fibra Danhos,
,
,
Income Statement,"Fibra Danhos 2025"
,
"Estado de resultados","Millones de dólares estadounidenses"
"Ingresos","$7,576.428"
"Coste de los ingresos, total","1,182.453"
"Margen Bruto","84.393%"
"Beneficio bruto","6,393.974"
"Gastos operativos","$1,403.933"
"Investigación y Desarrollo","-"
"Coste de los ingresos, total","1,182.453"
"Depreciación/Amortización","-"
"Exp.(Inc.), Neto, Total","(1,148.384)"
"Otros gastos operativos, total","299.061"
"Gastos totales de ventas/generales/administrativos","1,070.802"
"Gastos inusuales (ingresos)","-"
"Ingresos operativos","$6,172.495"
"Ingresos totales","7,576.428"
"Gasto operativo total","1,403.933"
"Margen operativo","81.47%"
"Ingreso neto antes de impuestos","$5,379.715"
"Ingresos operativos","6,172.495"
"Ganancia (pérdida) en la venta de activos","-"
"Interest Inc.(Exp.), Neto-No Operativo, Total","(792.78)"
"Otros, Net","-"
"Ingreso neto después de impuestos","$5,374.257"
"Ingreso neto antes de impuestos","5,379.715"
"Margen de beneficio neto","66.431%"
"Disposición para impuestos sobre la renta","5.458"
"Beneficio neto","$5,033.095"
"Ingreso neto antes de Extra. Elementos","5,033.095"
"Objetos Extraordinarios Totales","-"
"Miscelánea",""
"Tipo impositivo efectivo","0.101%"
"EBITDA normalizado","5,038.164"
"EBIT normalizado","5,024.111"
,,
"Copyright ?, Thomson Reuters, 1999-2022. All Rights Reserved. Use, duplication, or sale of this service, or data contained herein, except as described in the Cengage Learning and Gale Group Subscription Agreements is strictly prohibited."
